origen_id,origen_zona,destino_id,destino_zona,distancia_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min,ingreso_viaje_usd
41,Central Harlem,239,Upper West Side South,4.569,11.0,13.7,9.1,22.4
41,Central Harlem,243,Washington Heights North,7.363,17.7,22.1,14.7,32.74
41,Central Harlem,244,Washington Heights South,4.943,11.9,14.8,9.9,23.79
41,Central Harlem,246,West Chelsea/Hudson Yards,10.099,24.2,30.3,20.2,42.87
41,Central Harlem,249,West Village,12.058,28.9,36.2,24.1,50.11
41,Central Harlem,261,World Trade Center,15.716,37.7,47.1,31.4,63.65
41,Central Harlem,262,Yorkville East,3.589,8.6,10.8,7.2,18.78
41,Central Harlem,263,Yorkville West,2.896,6.9,8.7,5.8,16.21
42,Central Harlem North,4,Alphabet City,13.457,32.3,40.4,26.9,55.29
42,Central Harlem North,12,Battery Park,19.038,45.7,57.1,38.1,75.94
42,Central Harlem North,13,Battery Park City,18.084,43.4,54.3,36.2,72.41
42,Central Harlem North,24,Bloomingdale,3.895,9.3,11.7,7.8,19.91
42,Central Harlem North,41,Central Harlem,2.425,5.8,7.3,4.8,14.47
42,Central Harlem North,42,Central Harlem North,0.0,0.0,0.0,0.0,5.5
42,Central Harlem North,43,Central Park,6.04,14.5,18.1,12.1,27.85
42,Central Harlem North,45,Chinatown,16.506,39.6,49.5,33.0,66.57
42,Central Harlem North,48,Clinton East,10.333,24.8,31.0,20.7,43.73
42,Central Harlem North,50,Clinton West,10.347,24.8,31.0,20.7,43.78
42,Central Harlem North,68,East Chelsea,12.71,30.5,38.1,25.4,52.53
42,Central Harlem North,74,East Harlem North,2.205,5.3,6.6,4.4,13.66
42,Central Harlem North,75,East Harlem South,3.523,8.5,10.6,7.0,18.53
42,Central Harlem North,79,East Village,13.799,33.1,41.4,27.6,56.56
42,Central Harlem North,87,Financial District North,17.925,43.0,53.8,35.8,71.82
42,Central Harlem North,88,Financial District South,18.647,44.8,55.9,37.3,74.49
42,Central Harlem North,90,Flatiron,13.133,31.5,39.4,26.3,54.09
42,Central Harlem North,100,Garment District,11.201,26.9,33.6,22.4,46.95
42,Central Harlem North,103,Governor's Island/Ellis Island/Liberty Island,23.013,55.2,69.0,46.0,90.65
42,Central Harlem North,107,Gramercy,12.628,30.3,37.9,25.3,52.22
42,Central Harlem North,113,Greenwich Village North,13.97,33.5,41.9,27.9,57.19
42,Central Harlem North,114,Greenwich Village South,14.698,35.3,44.1,29.4,59.88
42,Central Harlem North,116,Hamilton Heights,1.629,3.9,4.9,3.3,11.53
42,Central Harlem North,120,Highbridge Park,4.019,9.6,12.1,8.0,20.37
42,Central Harlem North,125,Hudson Sq,15.786,37.9,47.4,31.6,63.91
42,Central Harlem North,127,Inwood,7.075,17.0,21.2,14.1,31.68
42,Central Harlem North,128,Inwood Hill Park,7.334,17.6,22.0,14.7,32.64
42,Central Harlem North,137,Kips Bay,11.586,27.8,34.8,23.2,48.37
42,Central Harlem North,140,Lenox Hill East,6.98,16.8,20.9,14.0,31.33
42,Central Harlem North,141,Lenox Hill West,7.238,17.4,21.7,14.5,32.28
42,Central Harlem North,142,Lincoln Square East,8.374,20.1,25.1,16.7,36.48
42,Central Harlem North,143,Lincoln Square West,8.64,20.7,25.9,17.3,37.47
