tipo_dia_fino,PUlocationID,DOlocationID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
DOMINGO,4.0,74.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
DOMINGO,4.0,75.0,1.0,1.0833333333333333,1.0,1.0,1.1111111111111112,1.3333333333333333,1.25,1.0,1.25,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
DOMINGO,4.0,79.0,1.7,1.9428571428571428,2.09375,1.675,2.027027027027027,2.057142857142857,2.475,2.5428571428571427,2.5384615384615383,2.263157894736842,1.9333333333333333,1.9722222222222223,1.8529411764705883,2.08,1.4285714285714286,1.4705882352941178,1.3529411764705883,1.4285714285714286,1.1111111111111112,1.1428571428571428,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2857142857142858,1.5,1.0,1.0,1.0,1.1818181818181819,1.0,1.4285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,1.0,1.1666666666666667,1.0,1.0,1.25,1.1666666666666667,1.0,1.0,1.2857142857142858,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333
DOMINGO,4.0,87.0,1.1666666666666667,1.15,1.4090909090909092,1.4166666666666667,1.5714285714285714,1.4210526315789473,1.44,1.3846153846153846,1.8,1.1818181818181819,1.12,1.25,1.2,1.1333333333333333,1.0,1.4,1.1333333333333333,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.1428571428571428,1.0,1.3333333333333333,0.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.2,0.0,1.0,1.0,1.1666666666666667,1.0,1.0,1.0,1.0,1.25,1.1666666666666667,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
DOMINGO,4.0,88.0,1.0,1.0,1.1428571428571428,1.0,1.0,1.0,1.0,1.1666666666666667,1.5,1.0,1.0,1.125,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
DOMINGO,4.0,90.0,1.3125,1.2916666666666667,1.2727272727272727,1.4,1.4074074074074074,1.3928571428571428,1.3461538461538463,1.3181818181818181,1.4827586206896552,1.434782608695652,1.24,1.2666666666666666,1.5625,1.3076923076923077,1.1428571428571428,1.0,1.25,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0
DOMINGO,4.0,100.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.5,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DOMINGO,4.0,107.0,1.55,1.4210526315789473,1.6551724137931034,1.65625,1.5806451612903225,1.8285714285714285,1.7352941176470589,1.65625,1.5666666666666667,1.6571428571428573,1.4666666666666666,1.5555555555555556,1.7096774193548387,1.3333333333333333,1.2222222222222223,1.2307692307692308,1.1818181818181819,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0
DOMINGO,4.0,113.0,1.3529411764705883,1.6923076923076923,1.0,1.0,1.6428571428571428,1.25,1.3157894736842106,1.5333333333333334,1.3846153846153846,1.2941176470588236,1.3636363636363635,1.1538461538461537,1.0666666666666667,1.0909090909090908,1.0,1.1428571428571428,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1818181818181819,1.0,1.3333333333333333,1.2,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
DOMINGO,4.0,114.0,1.7727272727272727,1.380952380952381,1.391304347826087,1.7,1.303030303030303,1.4642857142857142,1.5483870967741935,1.434782608695652,1.4782608695652173,1.375,1.4782608695652173,1.2222222222222223,1.1875,1.0,1.2,1.0,1.1666666666666667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.2222222222222223,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.5,1.1666666666666667,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.1666666666666667,1.0,1.2,1.0,1.0,1.25,1.0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
